date,open,close,low,high,volume,change,h1,h2,h3,dea,dif,macd,k,d,j,qsddS,qsddM,qsddL,wrS,wrM,wrL,label1
2009-07-22,3207.99,3296.61,3207.26,3301.43,168213040,0.02595854599775934,3224.443,3078.746,2686.86,102.702,108.684,11.964,88.567,87.871,89.96,98.339,94.431,96.217,98.768,99.368,99.554,3328.49
2009-07-23,3301.1,3328.49,3289.22,3331.06,166397744,0.009670540342958268,3254.171,3097.212,2698.633,104.807,113.228,16.842,92.042,89.261,97.603,99.196,95.89,96.436,99.377,99.676,99.762,3372.6
2009-07-24,3343.76,3372.6,3306.91,3398.05,189738688,0.013252255527281178,3288.008,3117.296,2711.0,107.649,119.016,22.735,91.953,90.159,95.543,93.421,96.19,96.257,94.349,97.039,97.734,3435.21
2009-07-27,3377.72,3435.21,3376.29,3435.93,197623648,0.018564312399928878,3330.066,3139.692,2724.288,111.557,127.19,31.265,94.55,91.622,100.404,99.83,97.245,96.687,99.853,99.915,99.938,3438.37
2009-07-28,3434.32,3438.37,3392.43,3439.92,204245808,9.198855382931042E-4,3361.01,3162.989,2737.391,115.725,132.396,33.342,96.183,93.142,102.264,99.587,98.797,96.693,99.638,99.817,99.867,3266.43
2009-07-29,3419.99,3266.43,3174.21,3454.02,275801184,-0.0500062529628865,3333.987,3180.989,2747.098,116.83,121.25,8.84,76.291,87.525,53.822,50.336,95.723,95.367,57.636,76.122,84.091,3321.56
2009-07-30,3281.2,3321.56,3215.75,3336.64,198010208,0.016877753388255715,3330.436,3196.72,2757.638,116.571,115.533,-2.074,68.414,81.155,42.933,64.932,90.762,94.412,70.086,82.113,88.53,3412.06
2009-07-31,3354.68,3412.06,3333.72,3414.15,193714384,0.027246233697419284,3353.757,3213.25,2769.646,116.648,116.957,0.619,73.944,78.751,64.33,88.518,88.226,94.133,90.524,94.3,96.367,3462.59
2009-08-03,3429.69,3462.59,3398.45,3465.17,200813712,0.014809235476515713,3384.852,3231.314,2782.361,117.473,120.771,6.597,82.334,79.945,87.111,99.164,87.482,94.476,99.432,99.653,99.779,3471.44
2009-08-04,3477.11,3471.44,3404.82,3478.01,211490160,0.0025558902440080715,3409.592,3250.08,2795.004,118.596,123.089,8.986,87.502,82.464,97.577,97.943,90.546,94.862,98.412,99.131,99.427,3428.5
2009-08-05,3467.05,3428.5,3385.42,3468.1,202502528,-0.012369506602447415,3414.994,3267.439,2806.628,118.892,120.076,2.369,86.235,83.721,91.264,84.501,94.934,94.515,87.675,93.452,95.68,3356.33
2009-08-06,3401.48,3356.33,3309.61,3419.74,174827376,-0.02105002187545576,3398.233,3281.207,2816.714,117.232,110.591,-13.282,77.473,81.638,69.141,59.947,94.588,93.737,69.709,83.908,89.383,3260.69
